Methodology Code,Registry,Methodology Name,Project Type Category
,ACR,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Forest management
,ACR,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,Industrial efficiency
,ACR,ECY Compliance Offset Protocol: Ozone Depleting Substances Projects,Industrial efficiency
,ACR,Destruction of Ozone Depleting Substances (ODS) from International Sources,Industrial efficiency
,ACR,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Industrial efficiency
,ACR,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",Industrial efficiency
,ACR,Advanced Refrigeration Systems,Industrial efficiency
,ACR,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Industrial efficiency
,ACR,ARB Compliance Offset Protocol: Mine Methane Capture Projects,Fossil gas leaks
,ACR,Emission reductions through industrial gas substitution,Industrial efficiency
,ACR,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,Soil & Livestock
,ACR,Plugging Orphan Oil and Gas Wells in the U.S. and Canada,Oil Field Gas Recovery
,ACR,Improved Forest Management (IFM) on Canadian Forestlands,Forest management
,ACR,ARB Compliance Offset Protocol: U.S. Forest Projects,Forest management
,ACR,Landfill Gas Destruction and Beneficial Use Projects,Landfill gas
,ACR,AR-ACM0001 Afforestation and Reforestation of Degraded Land,Afforestation/Reforestation
,ACR,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Landfill gas
,ACR,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,Bioenergy
,ACR,Capturing and Destroying Methane from Coal and Trona Mines in North America,Fossil gas leaks
,ACR,AMS-III.Y: Methane avoidance through separation of solids from wastewater or manure treatment systems,Wastewater treatment
,ACR,ECY Compliance Offset Protocol: U.S. Forest Projects,Forest management
,ACR,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,Oil Field Gas Recovery
,ACR,N2O Emission Reductions through Reduced Use of Fertilizer on Agricultural Crops,Soil & Livestock
,ACR,Climate Action Reserve U.S. Ozone Depleting Substances Project Protocol,Industrial efficiency
,ACR,Climate Action Reserve Forest Project Protocol,Forest management
,ACR,Emission Reductions in Rice Management Systems,Rice cultivation
,ACR,Active Conservation and Sustainable Management on U.S. Forestlands,Forest management
,ACR,Afforestation and Reforestation of Degraded Lands,Afforestation/Reforestation
,ACR,AMS-III.BC.: Emissions Reductions through Improved Efficiency of Vehicle Fleet,Electric vehicles
,ACR,Anaerobic Digestion,Waste to energy
,ACR,"Monitoring, Reporting and Verification Protocol for Cogeneration",Heat recovery
,ACR,Improved Forest Management (IFM) on Small Non-Industrial Private Forestlands,Forest management
,ACR,AMS-I.C.: Thermal energy production with or without electricity,Mixed renewables
,ACR,Emission Reductions from Enhanced Oil Recovery,Oil Field Gas Recovery
,ACR,ACM0002: Consolidated baseline methodology for grid-connected electricity generation from renewable sources,Mixed renewables
,ACR,Nitrous Oxide Abatement Protocol,Nitric acid
,ACR,Restoration of Pocosin Wetlands,Reforestation and ecosystem restoration
,ACR,Avoided Conversion of Grasslands and Shrublands to Crop Production,Rewilding
,ACR,Reduction in Emissions from the Recycling of Transformer Oil,Industrial efficiency
,ACR,AM0065: Replacement of SF6 with Alternate Cover Gas in the Magnesium Industry,Industrial efficiency
,ACR,Restoration of California Deltaic and Coastal Wetlands,Reforestation and ecosystem restoration
,ACR,Emissions Reductions through Anti-Idling Technologies,Electric vehicles
,ACR,Electricity generation by the user,Mixed renewables
,ACR,Offset Project Methodology for Landfill Methane Collection and Combustion,Waste to energy
,ACR,Truck Stop Electrification,Electric vehicles
,ACR,Emission reductions through wastewater treatment,Wastewater treatment
,CAR,Reforestation - ARB Compliance,Afforestation/Reforestation
,CAR,Avoided Grassland Conversion,Rewilding
,CAR,Ozone Depleting Substances - U.S. - ARB Compliance,Industrial efficiency
,CAR,Ozone Depleting Substances - U.S. - WA ECO Compliance,Industrial efficiency
,CAR,Livestock - ARB Compliance,Soil & Livestock
,CAR,Livestock Gas Capture/Combustion,Soil & Livestock
,CAR,Mine Methane Capture - ARB Compliance,Fossil gas leaks
,CAR,Soil Enrichment,Soil & Livestock
,CAR,Improved Forest Management - ARB Compliance,Forest management
,CAR,Landfill Gas Capture/Combustion,Landfill gas
,CAR,Improved Forest Management,Forest management
,CAR,Forestry - MX,Forest management
,CAR,Avoided Conversion,Rewilding
,CAR,Canada Grassland,Soil & Livestock
,CAR,Improved Forest Management - WA ECO Compliance,Forest management
,CAR,Biochar,Biochar
,CAR,Low Carbon Cement,Industrial efficiency
,CAR,Conservation-Based Forest Management,Forest management
,CAR,Livestock - MX,Soil & Livestock
,CAR,Organic Waste Composting,Composting
,CAR,Landfill - MX,Landfill gas
,CAR,Nitric Acid N2O- Tertiary Catalyst,Nitric acid
,CAR,Ozone Depleting Substances - Article 5 Imports,Industrial efficiency
,CAR,Ozone Depleting Substances - U.S.,Industrial efficiency
,CAR,Organic Waste Digestion,Waste to energy
,CAR,Nitric Acid N2O- Secondary Catalyst,Nitric acid
,CAR,Coal Mine Methane - Drainage,Fossil gas leaks
,CAR,Avoided Conversion - ARB Compliance,Rewilding
,CAR,Nitrogen Management,Soil & Livestock
,CAR,Adipic Acid,Industrial efficiency
,CAR,Reforestation,Afforestation/Reforestation
,CAR,Coal Mine Methane - VAM,Fossil gas leaks
,ART,ART - The REDD+ Environmental Excellence Standard (TREES),Forest management
,ART,FCPF - Carbon Fund Methodological Framework,Forest management
,Gold,GS Methodology for emission reductions from safe drinking water supply,Water purification
,Gold,GS Retrofit Energy Efficiency Measures in Shipping v2,Efficient appliances
,Gold,Methodology for Metered & Measured Energy Cooking Devices,Cleaner cooking
,Gold,Soil Organic Carbon Framework Methodology,Soil & Livestock
,Gold,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,Afforestation/Reforestation
,Gold,ACM0002 Grid-connected electricity generation from renewable sources,Mixed renewables
,Gold,AMS-I.F. Renewable electricity generation for captive use and mini-grid,Bioenergy
,Gold,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,Rice cultivation
,Gold,AMS-III.F. Avoidance of methane emissions through controlled biological treatment of biomass,Composting
,Gold,AMS-II.E. Energy efficiency and fuel switching measures for buildings,Efficient appliances
,Gold,Other,Industrial efficiency
,Gold,GS Water Access and WASH Methodology v1.,Water purification
,Gold,AMS-III.AQ. Introduction of Bio-CNG in transportation applications,Public transit
,Gold,AMS-I.B. Mechanical energy for the user with or without electrical energy,Mixed renewables
,Gold,AM0072 Fossil Fuel Displacement by Geothermal Resources for Space Heating,Geothermal
,Gold,Not provided,Industrial efficiency
,Gold,ACM0006 Electricity and heat generation from biomass residues,Bioenergy
,Gold,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Bioenergy
,Gold,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves, Version 3.0",Cleaner cooking
,Gold,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,Cleaner cooking
,Gold,GS TPDDTEC v3.1,Cleaner cooking
,Gold,ACM0001 Flaring or use of landfill gas,Landfill gas
,Gold,Methodology for animal waste management and biogas application,Waste to energy
,Gold,ACM0014 Treatment of wastewater,Wastewater treatment
,Gold,AMS-III.D. Methane recovery in animal manure management systems,Soil & Livestock
,Gold,AMS-III.C. Emission reductions by electric and hybrid vehicles,Electric vehicles
,Gold,AMS-III.BM: Lightweight two and three wheeled personal transportation version 1.0,Efficient appliances
,Gold,AMS-III.BA Recovery and recycling of materials from E-waste,Waste management
,Gold,AMS-I.L. Electrification of rural communities using renewable energy,Mixed renewables
,Gold,Methodology For Reducing Methane Emissions From Enteric Fermentation In Beef Cattle Through Application Of Feed Supplements,Soil & Livestock
,Gold,AMS-I.D. Grid connected renewable electricity generation,Mixed renewables
,Gold,GS MS Simplified Methodology for Efficient Cookstoves v1.,Cleaner cooking
,Gold,GS MS Simplified Methodology for Efficient Cookstoves v1.1,Cleaner cooking
,Gold,AMS-I.C. Thermal energy production with or without electricity,Mixed renewables
,Gold,ACM0026 Fossil fuel based cogeneration for identified recipient facility(ies),Heat recovery
,Gold,ACM0022 Alternative waste treatment processes,Landfill gas
,Gold,"AMS-III.Z. Fuel Switch = 159, process improvement and energy efficiency in brick manufacture",Industrial efficiency
,Gold,ACM0012 Waste energy recovery,Waste to energy
,Gold,AMS-III.AV. Low greenhouse gas emitting water purification systems,Water purification
,Gold,AMS-III.AJ. Recovery and recycling of materials from solid wastes,Waste management
,Gold,AMS-I.A. Electricity generation by the user,Solar
,Gold,AMS-II.C. Demand-side energy efficiency activities for specific technologies,Efficient appliances
,Gold,AMS-III.H. Methane recovery in wastewater treatment,Wastewater treatment
,Gold,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Efficient appliances
,Gold,GS Methodology for Improved Cook stoves and Kitchen Regimes v1.,Cleaner cooking
,Gold,AM0073 GHG emission reductions through multi-site manure collection and treatment in a central plant,Soil & Livestock
,Gold,AMS-III.AS. Switch from fossil fuel to biomass in existing manufacturing facilities for non-energy applications,Bioenergy
,Gold,ACM0010 GHG emission reductions from manure management systems,Soil & Livestock
,Gold,GS Retrofit Energy Efficiency Measures in Shipping v1.,Efficient appliances
,Gold,AMS-III.S. Introduction of low-emission vehicles/technologies to commercial vehicle fleets,Electric vehicles
,Gold,AMS-III.AR. Substituting fossil fuel based lighting with LED lighting systems,Efficient appliances
,Gold,GS Baseline and Monitoring Methodology Biodigester v1.,Waste to energy
,Gold,AMS-III.BL. Integrated methodology for electrification of communities v2,Mixed renewables
,Gold,AMS-II.L Demand-side activities for efficient outdoor and street lighting technologies,Efficient appliances
,Gold,AMS-I.I. Biogas/biomass thermal applications for households/small users,Waste to energy
,Gold,AMS-III.G. Landfill methane recovery,Waste to energy
,Gold,GS TPDDTEC v 3.,Cleaner cooking
,Gold,GS Methodology for Improved Cook stoves and Kitchen Regimes v2.,Cleaner cooking
,Gold,AMS-I.K. Solar cookers for households,Solar
,Gold,GS TPDDTEC v 1.,Cleaner cooking
,Gold,GS Revised Methodology for Manure Management Systems and MSW v1.,Soil & Livestock
,Gold,AMS-III.AO. Methane recovery through controlled anaerobic digestion,Waste to energy
,Gold,GS TPDDTEC v 2.,Cleaner cooking
,Gold,AMS-III.BL. Integrated methodology for electrification of communities v2,Industrial efficiency
,Gold,GS MS Microscale Electrification and Energization v1.,Mixed renewables
,Gold,AMS-III.BG Emission reduction through sustainable charcoal production and consumption,Cleaner cooking
,Gold,AMS-III.I. Avoidance of methane production in wastewater treatment through replacement of anaerobic systems by aerobic systems,Wastewater treatment
,Gold,"AM0019 Renewable energy project activities replacing part of the electricity production of one single fossil-fuel-fired power plant that stands alone or supplies electricity to a grid = 21, excluding biomass projects",Wind
,Gold,GS Alternative Ignition Coal Fires v1.,Industrial efficiency
,Gold,ACM0018 Electricity generation from biomass residues in power-only plants,Bioenergy
,Gold,"AMS-III.Z. Fuel Switch, process improvement and energy efficiency in brick manufacture",Industrial efficiency
,Gold,GS SS Ecologically Sound Fuel Switch to Biomass v1.,Bioenergy
,Gold,GS Advanced Hull Coatings v2.,Industrial efficiency
,Gold,AM0058 Introduction of a district heating system,Heat recovery
,Gold,AM0036 Fuel switch from fossil fuels to biomass residues in heat generation equipment,Bioenergy
,Gold,AMS-III.Q. Waste Energy Recovery (gas/heat/pressure) Projects,Waste to energy
,Gold,GS Biodiesel from Waste Oil or Fat v1.,Bioenergy
,Gold,AM0048 New cogeneration facilities supplying electricity and/or steam to multiple customers and displacing grid/off-grid steam and electricity generation with more carbon-intensive fuels,Heat recovery
,Gold,AMS-II.J. Demand-side activities for efficient lighting technologies,Efficient appliances
,Gold,AMS-I.J. Solar water heating systems (SWH),Solar
,Gold,AMS-II.M Demand-side energy efficiency activities for installation of low-flow hot water savings devices,Efficient appliances
,Gold,Carbon Sequestration Through Accelerated Carbonation Of Concrete Aggregate,Engineered Removals
VMR0014,Verra,VMR0014; VM0038,Electric vehicles
